ID,Platform,Username,Display Name,Followers,Region,Country Code,Inferred Country,Category,Is Live,Avatar URL,Profile URL,Language
cmk6iayb0062rl370q7wegtf8,YOUTUBE,"videosoficialescmll","VideosOficialesCMLL",420000,MEXICO,,,Sports,No,https://yt3.googleusercontent.com/_MBskkvKIhbEPFMPH8d9pAoOAvJIMNza5CLgGHpieDSQ9afs1Ew6Inb1poh_mV4JPgtszCEf=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC3lOpKjW4_j4PGXWLNTt4iQ,es
cmk6i8rk803col370jzba2vof,TWITCH,"yosoyricklive","yosoyricklive",413572,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/ffd99bbe-ab24-4f81-be8f-a378e1da4ddd-profile_image-300x300.png,https://twitch.tv/yosoyricklive,es
cmk6iaq8r05tfl370rub2y298,YOUTUBE,"munrra vlogs","Munrra Vlogs",404000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_n9QA-2aUSxu7pfsbYqCu4M04B04HwvHYZYATl4QRz-chE=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCXikkRMgJiaNFVX73voG7ZQ,es
cmk6i7jep01s3l370clx6k8j8,TWITCH,"maferrocha","MaferRocha",403676,MEXICO,,,IRL,Yes,https://static-cdn.jtvnw.net/jtv_user_pictures/b753a4c0-4be4-40c0-b066-de769d48ca7c-profile_image-300x300.png,https://twitch.tv/maferrocha,es
cmk6ibvz40789l370u6ant85j,YOUTUBE,"vaquita politica","Vaquita Politica",403000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/6KPIbpd4ipb7Fli68auYqAxqhT6H51WDYAf0TR-_FghujijyhqlzfS6BMyBf3SS9Mums2zHWHQ=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCA_IELG8rGhBX-J4vEG_FEw,es
cmk6ia2ql0509l370p5q6pxya,YOUTUBE,"survivormx","Survivor México",401000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/imkvoXc2CgkNNH-Akpph9bpN3ZBimcfcEhHOrj5oPRdOO0oRsEJQY72vlkRwOMoNMm9hGbk6Lw=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCn2ZEUBamBe8DrX4GfafYUw,es
cmk6iay2d062hl3704f1ees2a,YOUTUBE,"five minutes with jesus","Five Minutes with Jesus",398000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/PoDX3zu6Etf7TFAiGU11MolB_xegB5KxbR8ZCkvnkkkKVlVoHVEs38oLuLnKiDoLdFWL_ArkSEM=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCZsc6EuGxCw5pocensAbC3A,es
cmk7d7375001z69k7biwztko7,TWITCH,"starwraith","StarWraith",396674,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/cbc1b57b-1a0e-49f4-bb56-0829732b41f7-profile_image-300x300.png,https://twitch.tv/starwraith,es
cmk6i8rpj03cvl370wnxyiu89,TWITCH,"filisgg","Filisgg",393023,MEXICO,,,IRL,Yes,https://static-cdn.jtvnw.net/jtv_user_pictures/d6f94cf7-950d-47a0-aab5-49820122cc33-profile_image-300x300.png,https://twitch.tv/filisgg,es
cmk6iap1705s0l370o04fhnut,YOUTUBE,"zerty","KIKI",384000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/kM1aCtyAYEjlZJHAYMj8i7UBdlzESQmSRSdLlKgAwOWMFnTWqQEBCH-YWINdoUbsvojS7mI=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC2hC-VW4cD-6rU3w1xiG_6A,en
cmk6ib1ju066vl370nkns0gyf,YOUTUBE,"el poder del pueblo","El Poder del Pueblo",376000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/rRkYpeCsMQ3Lb7L2O2qo0jTTzCWdoYpJnQad4YTCt3ehChrDKRgk0FEpp-aMlkLPr3U930v8-Uk=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC2qzJe1HldtIV7Q2McYRSSw,es
cmk6ib2ad067ul370043dobg2,YOUTUBE,"marvin collector","Marvin Collector",374000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_kVsJXrFn-mw8eLM46zjwQIrBYGRlDXSUKlFhUTuXJY9sw=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCOGVzID9VYfxIpE0Amy47EQ,es
cmk6i7fs201nml370v8etc84d,TWITCH,"agbin3r","AGBIN3R",373343,MEXICO,,,Gaming,Yes,https://static-cdn.jtvnw.net/jtv_user_pictures/c1ebdeac-7d56-49e6-8d61-7580d41790f8-profile_image-300x300.png,https://twitch.tv/agbin3r,es
cmk6i7wxf029il3704t3f8yad,TWITCH,"puvloo","PUVLOO",372811,MEXICO,,,IRL,No,https://static-cdn.jtvnw.net/jtv_user_pictures/961410fa-44d4-4401-b818-4fb2a46e1295-profile_image-300x300.png,https://twitch.tv/puvloo,es
cmk6ia7ul056zl370vlp9461x,YOUTUBE,"orosolidonancy","Oro Sólido con Nancy Rodríguez Informa",368000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_lS2v5R5B3jrtfAE_CWREI2kFeR56kvKU2ZoV7mN0vks2Q=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCL4oM3s9E3fQn8UhEZHfv8w,es
cmk6i806h02dql370exd7ox45,TWITCH,"feezius","feezius",367729,MEXICO,,,IRL,No,https://static-cdn.jtvnw.net/jtv_user_pictures/8bfe2944-8ccd-4054-847e-c5ae314741cd-profile_image-300x300.png,https://twitch.tv/feezius,es
cmk6i9sy404otl370l47f2o73,YOUTUBE,"edmundovelascopnl","Edmundo Velasco",363000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/3lE4gn4KeTyVL-EBaW3wu7fR9zwQAttFQnxHhrY1_MDaNCQ0HmB2BkmXALnu86a3sUX5aeAttA=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCmLY6zHd5PM1LyetOXmkNsA,es
cmk6i9q5f04l8l370292dywes,TWITCH,"werevertumorro","werevertumorro",362236,MEXICO,,,Sports,No,https://static-cdn.jtvnw.net/jtv_user_pictures/9a2e6b54-50b9-4761-9c0b-d092b5f080ce-profile_image-300x300.png,https://twitch.tv/werevertumorro,es
cmk6i9uhf04qll370mnvwahr2,YOUTUBE,"alejandrozradio","Alejandro Zúñiga EN VIVO",359000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/pINLhb7LWW3Ygxw_qSjdoDleO7hpFuaI4i-E5y9jC1vfvSGzcFRNVLYwz3SjhYKkge53_9rK=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCraev8i0lKFrWIGP-zpxWRA,es
cmk6i9ie704b9l370avs9d7tm,TWITCH,"soarinng","Soarinng",358538,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/21d7c590-58b1-44c4-8221-6fa215fe7193-profile_image-300x300.png,https://twitch.tv/soarinng,es
